aff, AFF
omniglage, AHM-nuh-gluj
spraub, SPRAWB
baplingly, BAYP-ling-lee
panprimitely, pam-PRIM-ut-lee
paraspodosis, pare-uh-spuh-DOH-suss
pentaceimolytic, pen-tuh-see-muh-LIT-uk
persprilgizer, per-SPRIL-jyze-er
perisirtrics, peh-ruh-SER-trux
pluriclurve, PLOO-ruh-klerv
smaraite, SMARE-uh-yte
posthay, PAHS-thay
pretorcivize, pree-TOR-suv-yze
prosutionize, proh-SYOO-shun-yze
procnalsism, prahk-NALS-iz-um
sthobdology, sthahb-DAHL-uh-jee
tinctrate, TINK-trayt
quasiphrublyically, kwas-uh-frub-LYE-uh-kul-ee
quimbrennitude, kwim-BREN-uh-tyood
rerey, REE-ree
retrohore, re-truh-HOR
semipane, SEM-uh-payn
septengrinquoruinous, sep-tung-grink-wuh-ROO-uh-nuss
sexanine, SEX-uh-nyne
giutate, GYE-uh-tayt
supervoile, SOO-per-voyl
symphrelgologize, sim-frul-GAHL-uh-jyze
noclosis, nuk-LOH-suss
teracrylogic, ter-uh-krye-LAH-juk
tetrathiologize, tet-ruh-thye-AHL-uh-jyze
thermoartrologize, ther-muh-art-RAHL-uh-jyze
aglacity, uh-GLAYSS-uh-tee
tristonutate, trye-STAHN-yuh-tayt
trismeuopathic, trye-smyoo-uh-PATH-uk
ultrablape, UL-truh-blayp
unswim, un-SWIM
undersloarer, un-der-SLOR-er
unifercate, yoo-nuh-FER-sayt
uniorsacy, yoo-nee-OR-suh-see
scaff, SKAFF
relk, RELK
trisceability, trye-see-uh-BILL-uh-tee
staporacity, stap-uh-RASS-uh-tee
screlist, SKREEL-ust
spliviade, spliv-ee-ayd
oriviage, or-RIV-ee-uj
ernational, er-NAY-shun-ul
paflan, paff-lun
tagation, ta-GAY-shun
ercator, er-KAY-ter
cixance, SIX-uns
yaikness, YAYK-nuss
stroivity, STROY-vuh-tee
agedness, AYJED-nuss
dwiltedness, DWILL-tud-nuss
tarnure, TAR-nyer
noamliness, NOHM-lee-nuss
eriacity, er-ee-ASS-uh-tee
ursifier, ERS-uh-fye-er
dimibility, dim-uh-BILL-uh-tee
drespition, DRES-pish-un
gleicuophilia, glee-kyoo-uh-FILL-ee-uh
fegrutiosity, feg-rush-AHS-uh-tee
gnoalism, NOHL-iz-um
ursist, ERS-ust
euthophobia, yoo-thuh-FOH-bee-uh
huisometry, hyoo-ee-SAHM-ut-ree
certoritude, ser-TOR-uh-tyood
altrosity, al-TRAH-suh-tee
topsiveness, TAHP-siv-nuss
stoist, STOH-ust
ticrization, tik-ree-ZAY-shun
hurvability, her-vuh-BILL-uh-tee
mathopathy, muh-THAH-puh-thee
faspriment, FASS-pree-munt
zewkerfulness, ZYOO-ker-ful-nuss
ummerliness, UM-er-lee-nuss
throinyling, THROY-nee-ling
yiperism, YIPE-er-iz-um
oobling, OOB-ling
masdophobia, mass-duh-FOH-bee-uh
lutosis, loo-TOH-suss
clamblometry, klam-BLAHM-ut-ree
glogleology, glah-glee-AHL-uh-jee
socrence, SOH-kruns
feyory, FAY-er-ee
splepsure, SPLEP-sher
almoria, al-MOR-ee-uh
grachopathy, gra-KAH-pu-thee
hirbipathy, her-BIH-pu-thee
phredrophilia, fred-ruh-FILL-ee-uh
brulchephilia, brul-kuh-FILL-ee-uh
icmeophilia, uk-mee-uh-FILL-ee-uh
ptolmametry, tahl-MAM-ut-ree
dweetyship, DWEE-tee-ship
julgition, jul-JISH-un
gloculation, glahk-yoo-LAY-shun
irnulbuacy, er-NUL-byoo-uh-see
chodmialysis, kahd-mee-AL-uh-suss
pechiria, puh-KEER-ee-uh
chleics, KLEE-ux
latitate, LAYT-uh-tayt
cramify, KRAYM-uh-fye
glastealize, GLASS-tee-uh-lyze
ostruitate, ahs-TROO-uh-tayt
uncitionize, un-SISH-un-yze
pubitionalize, pyoo-BISH-un-ul-yze
uleutate, yoo-LEE-yuh-tayt
direlpionize, dye-REL-pyun-yze
linobule, luh-NOH-byool
faxulate, FAX-yuh-layt
surplemburate, ser-PLEM-byuh-rayt
vahify, VAY-ee-fye
pliptiesce, PLIP-tee-ess
rauhule, RAW-hyool
quaugize, KWAWJ-yze
thrybrialize, THRYBE-ree-ul-yze
selpologize, sel-PAHL-uh-jyze
gnirtologize, ner-TAHL-uh-jyze
flicturable, FLIK-cher-uh-bul
spoeaceous, spoh-ee-AY-shuss
molgrating, MAHL-grayt-ing
glogrose, GLOH-grohs
brauxtant, BRAWX-tunt
jiximpative, jug-ZIM-puh-tiv
mamblurating, MAM-bluh-RAYT-ing
falvuxtational, fal-vux-TAY-shun-ul
irdine, ER-dyne
guptone, GUP-tohn
strinqueprescent, strink-wuh-PRESS-unt
neaceling, NEE-sul-ing
etitant, ET-uh-tunt
clersuinous, kler-SYOO-uh-nuss
curgid, KER-jid
telsitional, tel-SISH-un-ul
errive, ER-iv
miprologic, mype-ruh-LAH-juk
cryptocechric, krip-tuh-SEE-kruk
treamy, TREE-mee
norshed, NORSHED
gnoderish, NOH-der-ish
infraglinsible, in-fruh-GLIN-suh-bul
nomperine, NAHM-per-een
auclaucifying, aw-KLAW-suh-fye-ing
splartitant, SPLART-uh-tunt
goent, GOH-unt
vorginous, VOR-juh-nuss
fledive, FLEED-iv
librizing, LYBE-ryze-ing
woggleless, WAHG-ul-less
askewglike, uh-SKYOOG-lyke
areoid, AR-ee-oyd
jaclone, JAK-lohn
squapous, SKWAYP-uss
fulmeose, FUL-mee-ohs
midirbular, mid-ER-byool-er
gnoleural, noh-lee-YOO-rul
novemmurgembulating, nahv-um-mer-JEM-byuh-layt-ing
pergurating, PER-gyuh-rayt-ing
disgelculine, dis-JELL-kyuh-leen
anihurine, uh-NYE-hyuh-reen
bewaizy, bee-WAYZ-ee
perithopathical, peh-ruh-thuh-PATH-uh-kul
autoimmopathical, aw-tuh-im-uh-PATH-uh-kul
audrolytical, awd-ruh-LIT-uh-kul
hexaspudmyopathic, hex-uh-spud-mee-uh-PATH-uk
antiagluite, an-tee-AG-loo-yte
toplophobic, tahp-luh-FOH-buk
mnybrometrical, nybe-ruh-MET-ruh-kul
dysmixolytic, dis-mix-uh-LIT-uk
eulethrolytic, yoo-leth-ruh-LIT-uk
lisphometric, lis-fuh-MET-ruk
macropreibimetric, mak-ruh-pree-buh-MET-ruk
girimetrical, jee-ruh-MET-ruh-kul
xolchophilic, zahl-kuh-FILL-uk
isochachnolytical, eye-suh-kak-nuh-LIT-uh-kul
peitoid, PEE-toyd
phelopathic, fee-luh-PATH-uk
cromological, kroh-muh-LAH-juk-ul
upawdily, up-AWD-ee-lee
forrandly, for-RAND-lee
prisally, PRYSE-ul-ee
uniquodily, yoo-nuh-KWOH-dul-ee
thailedly, THAYLED-lee
thailedly, THAYLED-lee
foresimperly, for-SIMP-er-lee
staupyically, staw-PYE-uh-kul-ee
swoilwise, SWOYL-wyse
shretwise, SHRET-wyse
neinically, NEE-nuh-kul-ee
